distance,mean,std_dev
869,0.254000,0.499484
870,0.261000,0.504855
871,0.241000,0.500918
872,0.263000,0.530878
873,0.263000,0.489725
874,0.259000,0.499919
875,0.261000,0.492828
876,0.255000,0.513785
877,0.244000,0.482145
878,0.237000,0.465651
879,0.246000,0.497478
880,0.248000,0.488361
881,0.254000,0.509396
882,0.267000,0.507652
883,0.285000,0.530825
884,0.252000,0.480100
885,0.265000,0.510661
886,0.277000,0.525615
887,0.265000,0.522279
888,0.268000,0.538680
889,0.264000,0.502299
890,0.263000,0.507771
891,0.264000,0.510200
892,0.265000,0.494747
893,0.249000,0.504974
894,0.255000,0.505940
895,0.246000,0.479045
896,0.253000,0.470097
897,0.227000,0.476939
898,0.255000,0.501971
899,0.250000,0.536190
900,0.239000,0.477367
901,0.253000,0.498990
902,0.242000,0.470570
903,0.233000,0.488581
904,0.250000,0.468508
905,0.243000,0.495934
906,0.285000,0.527044
907,0.262000,0.491280
908,0.243000,0.489848
909,0.235000,0.483503
910,0.241000,0.478455
911,0.230000,0.478644
912,0.244000,0.490371
913,0.221000,0.454047
914,0.249000,0.496990
915,0.255000,0.507912
916,0.233000,0.465522
917,0.230000,0.465940
918,0.241000,0.470020
919,0.262000,0.495334
920,0.242000,0.495415
921,0.246000,0.489371
922,0.245000,0.496966
923,0.244000,0.473776
924,0.237000,0.486653
925,0.275000,0.509289
926,0.259000,0.497915
927,0.244000,0.488328
928,0.245000,0.502966
929,0.266000,0.534082
930,0.240000,0.477912
931,0.255000,0.505940
932,0.258000,0.489322
933,0.254000,0.495463
934,0.247000,0.503975
935,0.237000,0.488703
936,0.240000,0.475815
937,0.268000,0.502171
938,0.238000,0.474717
939,0.260000,0.502394
940,0.230000,0.470213
941,0.266000,0.526540
942,0.246000,0.487323
943,0.247000,0.479574
944,0.223000,0.470395
945,0.262000,0.513182
946,0.224000,0.487672
947,0.223000,0.468264
948,0.225000,0.473682
949,0.250000,0.487340
950,0.229000,0.490468
951,0.251000,0.489897
952,0.236000,0.467230
953,0.234000,0.468235
954,0.250000,0.481144
955,0.228000,0.460452
956,0.279000,0.522646
957,0.202000,0.439541
958,0.252000,0.514292
959,0.252000,0.488361
960,0.234000,0.472487
961,0.253000,0.488867
962,0.221000,0.456244
963,0.241000,0.478455
964,0.239000,0.462471
965,0.241000,0.496909
966,0.260000,0.492341
967,0.237000,0.498830
968,0.214000,0.436124
969,0.255000,0.515728
970,0.230000,0.474447
971,0.222000,0.469804
972,0.272000,0.519631
973,0.239000,0.473159
974,0.238000,0.485135
975,0.253000,0.506943
976,0.210000,0.473181
977,0.221000,0.464929
978,0.223000,0.466123
979,0.240000,0.514198
980,0.226000,0.461437
981,0.230000,0.468081
982,0.219000,0.457208
983,0.233000,0.469799
984,0.231000,0.464369
985,0.255000,0.503959
986,0.245000,0.500974
987,0.222000,0.454660
988,0.246000,0.476953
989,0.207000,0.440626
990,0.204000,0.460851
991,0.242000,0.493392
992,0.232000,0.477678
993,0.232000,0.492114
994,0.225000,0.460842
995,0.235000,0.489668
996,0.249000,0.492949
997,0.224000,0.460243
998,0.246000,0.485267
999,0.221000,0.460607
