distance,mean,std_dev
620,0.730000,0.842081
621,0.748000,0.780062
622,0.733000,0.815911
623,0.713000,0.806617
624,0.728000,0.808713
625,0.735000,0.843075
626,0.741000,0.809888
627,0.707000,0.799469
628,0.723000,0.791373
629,0.752000,0.817616
630,0.738000,0.837470
631,0.735000,0.822663
632,0.710000,0.807403
633,0.707000,0.795708
634,0.744000,0.851155
635,0.702000,0.818044
636,0.698000,0.810430
637,0.718000,0.796540
638,0.679000,0.786104
639,0.706000,0.827988
640,0.719000,0.841451
641,0.719000,0.825857
642,0.700000,0.834266
643,0.704000,0.781271
644,0.709000,0.779948
645,0.718000,0.805280
646,0.732000,0.828357
647,0.750000,0.829156
648,0.678000,0.802693
649,0.716000,0.816911
650,0.725000,0.792070
651,0.705000,0.824606
652,0.696000,0.802237
653,0.720000,0.820731
654,0.708000,0.795447
655,0.759000,0.826389
656,0.763000,0.833565
657,0.666000,0.777460
658,0.682000,0.796791
659,0.678000,0.790137
660,0.686000,0.785751
661,0.689000,0.803915
662,0.692000,0.786852
663,0.647000,0.778711
664,0.710000,0.797433
665,0.674000,0.782128
666,0.706000,0.820709
667,0.688000,0.778881
668,0.678000,0.798947
669,0.691000,0.832778
670,0.629000,0.759841
671,0.651000,0.785620
672,0.646000,0.759397
673,0.672000,0.739200
674,0.720000,0.790949
675,0.726000,0.817878
676,0.691000,0.804686
677,0.687000,0.782963
678,0.701000,0.794732
679,0.670000,0.785557
680,0.630000,0.777882
681,0.676000,0.799390
682,0.660000,0.769675
683,0.626000,0.782384
684,0.691000,0.776865
685,0.678000,0.783783
686,0.671000,0.811640
687,0.673000,0.764245
688,0.653000,0.801618
689,0.646000,0.796671
690,0.648000,0.736272
691,0.626000,0.774677
692,0.685000,0.756158
693,0.647000,0.785106
694,0.629000,0.745224
695,0.659000,0.773769
696,0.690000,0.828191
697,0.655000,0.799984
698,0.673000,0.775932
699,0.645000,0.777801
700,0.649000,0.802371
701,0.687000,0.775262
702,0.649000,0.767984
703,0.636000,0.766488
704,0.610000,0.775822
705,0.677000,0.792888
706,0.693000,0.780225
707,0.599000,0.766941
708,0.672000,0.782570
709,0.653000,0.791575
710,0.659000,0.800449
711,0.604000,0.759726
712,0.652000,0.800560
713,0.625000,0.772253
714,0.649000,0.774467
715,0.632000,0.797857
716,0.608000,0.729614
717,0.636000,0.771689
718,0.640000,0.770973
719,0.653000,0.823766
720,0.621000,0.762469
721,0.598000,0.740538
722,0.641000,0.772087
723,0.619000,0.760157
724,0.593000,0.735766
725,0.660000,0.810185
726,0.609000,0.747074
727,0.608000,0.761798
728,0.635000,0.783438
729,0.636000,0.778141
730,0.608000,0.792676
731,0.600000,0.770714
732,0.604000,0.723315
733,0.642000,0.734735
734,0.625000,0.787639
735,0.640000,0.776144
736,0.642000,0.791098
737,0.603000,0.749260
738,0.649000,0.779615
739,0.621000,0.747903
740,0.658000,0.777841
741,0.631000,0.768661
742,0.605000,0.750317
743,0.606000,0.742135
744,0.577000,0.745702
745,0.612000,0.757269
746,0.626000,0.755066
747,0.616000,0.744677
748,0.633000,0.816279
749,0.609000,0.753737
750,0.634000,0.770742
751,0.614000,0.794358
752,0.617000,0.791398
753,0.620000,0.749400
754,0.585000,0.727169
755,0.566000,0.729139
756,0.559000,0.690304
757,0.640000,0.760526
758,0.596000,0.738095
759,0.559000,0.710295
760,0.633000,0.767014
761,0.582000,0.730257
762,0.590000,0.750933
763,0.629000,0.754559
764,0.592000,0.770413
765,0.580000,0.722219
766,0.593000,0.742530
767,0.599000,0.753790
768,0.625000,0.785096
769,0.634000,0.789965
770,0.592000,0.719400
771,0.588000,0.783745
772,0.582000,0.712233
773,0.584000,0.713403
774,0.599000,0.741754
775,0.563000,0.723900
776,0.543000,0.747095
777,0.596000,0.764712
778,0.585000,0.762086
779,0.554000,0.710693
780,0.554000,0.738298
781,0.643000,0.753360
782,0.593000,0.741182
783,0.589000,0.736260
784,0.576000,0.739070
785,0.588000,0.764366
786,0.599000,0.743101
787,0.547000,0.715396
788,0.558000,0.722936
789,0.584000,0.739557
790,0.557000,0.720244
791,0.553000,0.728829
792,0.594000,0.747773
793,0.567000,0.724921
794,0.615000,0.743488
795,0.520000,0.664530
796,0.584000,0.727285
797,0.623000,0.732715
798,0.583000,0.759678
799,0.604000,0.741069
800,0.601000,0.767984
801,0.562000,0.698682
802,0.537000,0.704721
803,0.557000,0.729898
804,0.608000,0.749891
805,0.552000,0.730271
806,0.598000,0.757889
807,0.588000,0.745826
808,0.562000,0.751103
809,0.547000,0.730610
810,0.622000,0.727404
811,0.532000,0.752978
812,0.558000,0.707556
813,0.552000,0.726151
814,0.554000,0.732860
815,0.561000,0.756491
816,0.546000,0.708438
817,0.534000,0.729962
818,0.558000,0.697593
819,0.544000,0.722540
820,0.558000,0.720164
821,0.528000,0.699440
822,0.565000,0.741468
823,0.567000,0.716597
824,0.566000,0.742727
825,0.565000,0.699839
826,0.574000,0.725620
827,0.546000,0.704190
828,0.549000,0.757363
829,0.615000,0.740793
830,0.540000,0.708802
831,0.549000,0.711055
832,0.586000,0.755383
833,0.531000,0.662600
834,0.570000,0.747730
835,0.552000,0.731639
836,0.622000,0.781739
837,0.599000,0.733620
838,0.539000,0.733811
839,0.544000,0.738961
840,0.543000,0.710036
841,0.477000,0.664433
842,0.581000,0.734465
843,0.533000,0.720355
844,0.476000,0.667401
845,0.541000,0.722716
846,0.553000,0.696557
847,0.545000,0.712724
848,0.552000,0.735728
849,0.585000,0.754172
850,0.551000,0.693829
851,0.542000,0.704440
852,0.502000,0.684102
853,0.537000,0.759362
854,0.541000,0.708745
855,0.513000,0.692698
856,0.505000,0.708502
857,0.541000,0.726856
858,0.505000,0.661797
859,0.491000,0.655682
860,0.482000,0.664587
861,0.523000,0.715172
862,0.543000,0.712847
863,0.518000,0.699769
864,0.552000,0.712247
865,0.515000,0.709771
866,0.546000,0.707025
867,0.537000,0.703300
868,0.512000,0.682536
869,0.549000,0.741349
870,0.501000,0.698569
871,0.523000,0.716569
872,0.538000,0.710321
873,0.516000,0.713964
874,0.513000,0.699879
875,0.531000,0.713470
876,0.502000,0.711334
877,0.520000,0.682349
878,0.530000,0.730137
879,0.566000,0.741380
880,0.515000,0.683941
881,0.534000,0.702028
882,0.478000,0.726303
883,0.508000,0.678186
884,0.523000,0.695321
885,0.527000,0.689399
886,0.500000,0.701427
887,0.495000,0.675259
888,0.540000,0.704557
889,0.508000,0.689881
890,0.484000,0.692636
891,0.548000,0.727802
892,0.522000,0.695353
893,0.499000,0.691375
894,0.519000,0.699742
895,0.520000,0.689638
896,0.483000,0.644757
897,0.531000,0.678999
898,0.533000,0.730008
899,0.529000,0.693656
900,0.519000,0.683841
901,0.501000,0.707106
902,0.499000,0.692820
903,0.500000,0.711337
904,0.525000,0.703829
905,0.478000,0.698223
906,0.500000,0.661816
907,0.526000,0.713669
908,0.493000,0.666296
909,0.514000,0.704134
910,0.489000,0.695614
911,0.494000,0.684079
912,0.499000,0.673794
913,0.498000,0.679703
914,0.495000,0.679687
915,0.535000,0.690489
916,0.484000,0.641673
917,0.487000,0.682518
918,0.508000,0.694216
919,0.486000,0.688334
920,0.481000,0.672041
921,0.493000,0.676721
922,0.478000,0.668966
923,0.496000,0.688465
924,0.476000,0.664397
925,0.466000,0.680326
926,0.472000,0.659709
927,0.547000,0.715396
928,0.483000,0.686812
929,0.481000,0.655469
930,0.430000,0.670149
931,0.474000,0.662815
932,0.461000,0.662177
933,0.507000,0.692785
934,0.478000,0.703929
935,0.488000,0.684000
936,0.471000,0.668699
937,0.473000,0.667286
938,0.485000,0.688313
939,0.417000,0.631752
940,0.496000,0.691364
941,0.521000,0.705379
942,0.469000,0.645786
943,0.482000,0.638495
944,0.513000,0.691253
945,0.513000,0.676632
946,0.494000,0.692794
947,0.505000,0.692802
948,0.452000,0.661586
949,0.499000,0.651152
950,0.476000,0.650710
951,0.476000,0.682220
952,0.489000,0.688389
953,0.498000,0.699997
954,0.460000,0.672607
955,0.510000,0.712671
956,0.414000,0.636085
957,0.474000,0.667326
958,0.476000,0.676331
959,0.476000,0.665901
960,0.518000,0.711109
961,0.444000,0.648740
962,0.508000,0.709884
963,0.498000,0.682639
964,0.477000,0.674886
965,0.495000,0.684087
966,0.485000,0.678067
967,0.497000,0.692814
968,0.449000,0.662872
969,0.496000,0.692809
970,0.451000,0.644670
971,0.485000,0.696976
972,0.470000,0.639609
973,0.500000,0.678233
974,0.510000,0.681102
975,0.438000,0.655863
976,0.484000,0.689742
977,0.470000,0.670149
978,0.539000,0.736532
979,0.476000,0.670391
980,0.490000,0.676683
981,0.500000,0.692820
982,0.440000,0.623217
983,0.468000,0.665564
984,0.433000,0.649239
985,0.450000,0.659924
986,0.481000,0.672041
987,0.450000,0.662948
988,0.460000,0.657571
989,0.475000,0.682184
990,0.480000,0.664530
991,0.458000,0.668009
992,0.460000,0.665132
993,0.462000,0.683049
994,0.483000,0.689718
995,0.455000,0.672291
996,0.470000,0.658103
997,0.442000,0.632958
998,0.453000,0.646368
999,0.432000,0.677773
